id,a,b,c,d,e,f,g,h,i,j,k,l,m,n
26680,33,2,137876,5,11,2,5,4,0,1,1,1,31,0
2562,41,1,151961,5,11,2,6,4,0,1,1,1,39,0
5537,51,2,274529,1,10,2,6,5,0,0,1,1,41,0
5782,22,2,301695,1,10,0,6,0,0,0,1,1,36,4
12861,27,4,214216,2,8,1,4,5,0,0,1,1,51,0
7545,32,2,261944,5,11,1,1,1,0,0,1,1,41,0
12447,24,2,213956,1,10,0,0,3,1,0,1,2002,41,0
9347,60,2,175690,5,11,1,0,2,0,1,1,1,15,1
26836,40,2,136082,1,10,1,9,1,0,0,1,2052,41,0
10390,65,2,110151,1,10,1,11,1,0,0,1,1,41,0
4021,65,5,56589,5,11,6,1,4,0,1,1,1,71,0
27359,39,2,197114,5,11,2,0,4,1,1,1,1,21,0
5233,53,2,317626,3,15,2,3,4,0,1,1,1,41,0
14159,33,2,136332,0,14,1,5,1,0,0,1,1888,41,0
2184,64,5,54053,3,15,1,5,1,0,0,1,1,69,0
1473,56,2,118058,1,10,6,6,4,0,0,1,1,52,0
16008,34,2,172305,7,12,1,6,1,0,0,1,1,51,0
10046,51,4,97450,5,11,1,11,1,0,0,1,1,49,0
2299,35,1,227541,0,14,1,5,1,2,0,1,1,61,3
6937,26,2,179773,1,10,0,5,4,0,1,1,1,41,0
18620,44,2,347935,1,10,4,5,0,0,1,1,1,31,0
2709,24,2,26249,1,10,0,0,3,0,1,1,1,41,0
28566,32,2,246440,5,11,1,6,1,0,0,1,1,46,0
27926,56,3,238193,1,10,1,10,1,0,0,1,1888,41,0
25814,54,2,194502,2,8,6,4,3,0,1,1,1,48,0
8101,46,1,40667,7,12,1,8,1,0,0,2886,1,61,0
16558,37,2,410035,6,13,1,6,1,0,0,1,1,46,0
12990,35,4,79191,0,14,1,3,2,0,1,1,1,51,0
4524,55,2,27485,1,10,1,1,1,0,0,1,1,41,0
8874,25,2,126614,0,14,0,5,0,0,1,1,1,51,0
8547,39,2,175121,1,10,2,6,0,0,0,1,1,41,0
13500,60,2,159049,1,10,2,4,0,0,1,1,1,41,0
13973,30,2,173790,1,10,1,5,1,0,0,1,1,41,0
7891,47,2,37719,6,13,1,10,1,0,0,1,1978,51,0
2168,46,2,259413,10,16,1,3,1,0,0,100000,1,51,0
15435,31,2,226536,1,10,0,7,0,0,0,4866,1,41,0
10274,42,2,121719,5,11,1,6,1,0,0,1,1,41,13
